Popularity Results
==================


Native Languages
===================

English (US)                      8483 17.320%
Russian                           6596 13.467%
Arabic                            6318 12.899%
Polish                            3764  7.685%
Portuguese (Brazil)               3509  7.164%
Spanish (Spain)                   3372  6.885%
Simplified Chinese (China)        3276  6.689%
Traditional Chinese (Taiwan)      2339  4.776%
Spanish (Mexico)                  2265  4.624%
Japanese                          2007  4.098%
English (UK)                      1544  3.152%
Vietnamese                        1432  2.924%
Portuguese (Portugal)             1251  2.554%
Korean                            1045  2.134%
German                             967  1.974%
Spanish (Colombia)                 827  1.688%
Traditional Chinese (Hong Kong)    718  1.466%
French (France)                    709  1.448%
Tagalog                            612  1.250%
Ukrainian                          587  1.198%
Turkish                            490  1.000%
Spanish (Chile)                    455  0.929%
Indonesian                         324  0.662%
Italian                            273  0.557%
Spanish (Venezuela)                211  0.431%
Kazakh                             186  0.380%
Malay                              129  0.263%
Thai                               128  0.261%
Hindi                              128  0.261%
Persian                            119  0.243%
Swedish                            101  0.206%
Romanian                            99  0.202%
Dutch                               94  0.192%
Belarusian                          79  0.161%
Hungarian                           75  0.153%
Norwegian (bokmal)                  73  0.149%
French (Canada)                     64  0.131%
Catalan                             62  0.127%
Armenian                            55  0.112%
Urdu                                54  0.110%
Greek                               50  0.102%
Finnish                             48  0.098%
Azerbaijani                         48  0.098%
Danish                              46  0.094%
Hebrew                              45  0.092%
Czech                               44  0.090%
Kurdish                             43  0.088%
Serbian                             42  0.086%
Lithuanian                          41  0.084%
Bulgarian                           38  0.078%
Uzbek                               36  0.074%
Slovak                              31  0.063%
Georgian                            29  0.059%
Latvian                             27  0.055%
Albanian                            25  0.051%
Croatian                            23  0.047%
Bengali                             22  0.045%
Somali                              21  0.043%
Javanese                            21  0.043%
Dutch (Belgium)                     21  0.043%
Mongolian                           21  0.043%
Bosnian                             18  0.037%
Nepali                              18  0.037%
Tatar                               18  0.037%
Afrikaans                           17  0.035%
Telugu                              17  0.035%
Tamil                               16  0.033%
Azeri                               16  0.033%
