username,natives,learning
goodchaika,Russian,"English (UK),Greek"
cameramanhd,Polish,English (US)
S1d,"Indonesian,Javanese","English (US),French (France),Russian"
ashwaq17a,Arabic,English (US)
Yuska,Spanish (Spain),Japanese
Zomizo,Arabic,English (US)
manonogerytb,French (France),"English (UK),Korean,Norwegian (bokmal)"
kerbit,Polish,"Danish,English (US),German"
Mizusei,"Catalan,Spanish (Spain)",English (US)
Matthew_g,English (UK),"Arabic,Dutch,Japanese,Romanian,Tagalog,Welsh"
lollieee,German,"English (US),French (France)"
KimKim88888,Russian,Korean
cyrine,Arabic,Korean
AndyAnn,Russian,Korean
Inna_,Russian,"Japanese,Korean"
shigorinalera,Russian,English (US)
xoLittleStarxo,Polish,"English (UK),Spanish (Spain),German"
NLia21,Russian,English (US)
Dana128,Ukrainian,English (US)
mohamedelhessy05,Arabic,English (US)
ccccqj,Simplified Chinese (China),"English (US),Japanese"
animaartneko,Polish,"Arabic,English (UK)"
Nekuu27,"Catalan,Spanish (Spain)","English (US),Japanese"
whats_upzz,English (US),Japanese
arekbara96,Polish,"Japanese,Korean"
leo127699,Traditional Chinese (Taiwan),English (US)
Animegirl041,Vietnamese,Vietnamese
cinnamonvolpe,Polish,"English (US),Japanese"
yamaofparadise,Polish,"English (US),French (France),Japanese"
almaz06,Russian,Korean
Ahmad_Musmar,Arabic,Spanish (Spain)
serglto17,Spanish (Spain),English (UK)
jamesn184,English (US),Simplified Chinese (China)
mMayu-chan,Polish,"English (UK),German,Polish,Simplified Chinese (China),Traditional Chinese (Hong Kong)"
LizaAhus,Spanish (Mexico),"English (US),German"
Ioanys,Russian,English (US)
Vangou,Simplified Chinese (China),"English (US),Japanese"
frambtea123,French (France),"Simplified Chinese (China),Malay,Korean"
naughty_girl69,Russian,"English (US),Italian"
RichelAnne,English (US),"Japanese,Latin"
vilinhobaenim,Arabic,"Korean,English (US)"
michaelpabellano,"English (US),Tagalog",Spanish (Spain)
EmpressEL,Russian,"Azerbaijani,English (US),French (France),German,Japanese,Norwegian (nynorsk),Spanish (Spain)"
GkHazex,Polish,"Japanese,Ukrainian"
lynchatzz,English (US),English (US)
eateatist,Traditional Chinese (Taiwan),English (US)
angelina048com,Russian,English (US)
koukousgx,Simplified Chinese (China),"English (US),Japanese"
lassieruda,Polish,English (US)
paulak152002,Polish,English (US)
nisiakulesza,Polish,Korean
rmadt,"English (US),Tagalog",French (France)
abderraouf,Arabic,English (US)
vechniydualism,Russian,English (UK)
Lanzandre,English (US),"English (US),Korean,French (France)"
Bilyash,Russian,English (US)
frenziebhym,"English (US),Tagalog",Simplified Chinese (China)
ARTEM12,Russian,"English (US),Japanese"
juanes961007,"English (US),Spanish (Colombia),Spanish (Spain)",Japanese
toffikonline,Polish,English (US)
joanneng97,Traditional Chinese (Hong Kong),Japanese
TaalLawine,Dutch,Japanese
Piotreczek,Polish,English (US)
chemist80,Arabic,English (UK)
springchicken,Russian,"English (UK),English (US)"
shaconeko,"English (US),Spanish (Mexico)","English (US),Japanese"
bea2001,English (US),"English (US),French (France),Italian"
AlphaCentauri,"Russian,Ukrainian",English (US)
ivah,Indonesian,"English (US),Japanese"
trangthudinhthu1410,Vietnamese,English (US)
kath_co,English (US),"French (France),German,Korean,Spanish (Spain)"
_svoj_,English (US),Korean
Syl001,Simplified Chinese (China),English (UK)
tondermarek,Polish,"English (UK),English (US),Russian,Simplified Chinese (China)"
avatat,Arabic,English (US)
kikxkik,English (US),Japanese
elvirazakirova365,"Russian,Tatar","English (UK),English (US)"
ritalimehouse,"English (US),Tagalog","Japanese,Spanish (Spain)"
Lovechi0407,Traditional Chinese (Taiwan),"English (US),French (France),Japanese,Korean"
geaninaadina,Romanian,"English (US),French (France),German,Korean"
DaheWang,Traditional Chinese (Hong Kong),English (US)
Jessica0401,Simplified Chinese (China),English (US)
hughost,Spanish (Spain),Japanese
millsblue654,Russian,English (US)
livecczka,Polish,"English (US),Spanish (Spain),German,English (UK)"
dedspace9,Russian,"English (US),Japanese,Simplified Chinese (China)"
nsolorzam,Spanish (Colombia),English (UK)
BolesnyP,Polish,English (US)
janmesh,English (US),English (US)
ClsK8x,"Arabic,English (UK)","French (France),Turkish"
gastelumcastro56,Spanish (Mexico),"English (US),Japanese"
aniakorkus4,Polish,"English (US),French (France),Spanish (Spain),Vietnamese"
YaBoi890,English (US),"Korean,Vietnamese"
jennyleelina,English (US),Korean
bongbuno,Tagalog,Spanish (Spain)
virginiadvcb,Spanish (Venezuela),Korean
keycos,Polish,Spanish (Spain)
Wallcroft,Polish,English (US)
zosiomaster,Polish,Vietnamese
apperler,"English (US),French (Canada),Tagalog",Tagalog
songyyharry,Traditional Chinese (Taiwan),Japanese
ilyatarlov,Russian,English (UK)
WikaLu,English (US),English (US)
MrVadim,Russian,English (US)
malagosia,Polish,German
kingam1505,Polish,English (UK)
karina2018,Russian,English (US)
Jdiego,Spanish (Colombia),"English (UK),Portuguese (Brazil)"
LunaLouise,Polish,"English (UK),French (France),Japanese"
Cathrine,Russian,English (US)
laurenceloh,Traditional Chinese (Taiwan),English (US)
